ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,Family Name,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Hot Water (L),Cold Water (L),Star Rating (old),Star Image Large,Star Image Small,Registration Number
AS/NZS 2040.2:2000 (Legacy),Haier,5,,90,,480,"Warm/cold, Large, Normal Wash",107.47,,Dual,China,,,,,20.7,,Top,Agitator,XQJ50 31A,,AS/NZS 2040.1:2005/Amdt 3:2010,1.59,1.5,,,"Warm/cold, Large, Normal wash",New Zealand,,12656,Approved,60,128.17,Non-Drum,0.838,,,,Single product class,Available,,,60,136,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZCW0001
AS/NZS 2040.2:2000 (Legacy),INDESIT,5.5,,230,,240,,75,,Dual,Italy,,,,,0,,Front,Drum,W93,,AS/NZS 2040.1:2005/Amdt 3:2010,3.5,3.5,,,"Cotton No 4, 40C",New Zealand,,12841,Approved,91,75,Drum,0.72,,,,Single product class,Available,,,90,76,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,ZCW0002
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,,266,,277,,54,,Dual,Italy,,,,,0,,Front,Drum,WE12,,AS/NZS 2040.1:2005/Amdt 3:2010,3.6,3.5,,,"Cotton No3, 40 C",New Zealand,,12843,Approved,145,55,Drum,0.58,,,,Single product class,Available,,,145,55,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,ZCW0003
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,,133,,327,,57,,Dual,Italy,,,,,11,,Front,Drum,WD11,,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,3,,,"No 2, 40 C",New Zealand,,12844,Approved,122,68,Drum,0.6,,,,Single product class,Available,,,120,72,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ZCW0004
AS/NZS 2040.2:2000 (Legacy),SMEG,6.5,,,,380,heavy Program,112,,Dual,Chile,,,,,25,,Top,Impeller,S750,,AS/NZS 2040.1:2005/Amdt 3:2010,2.92,2.5,,,warm wash,New Zealand,,18007,Approved,53,137,Non-Drum,0.69,,,,Single product class,Available,http://www.applico.co.nz/,,53,147,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZCW0006
AS/NZS 2040.2:2000 (Legacy),SMEG,6.5,,,,377,heavy Program,105,,Dual,Chile,,,,,25,,Top,Impeller,S650,,AS/NZS 2040.1:2005/Amdt 3:2010,2.93,2.5,,,warm wash,New Zealand,,18008,Approved,62,129,Non-Drum,0.7,,,,Single product class,Available,http://www.applico.co.nz/,,62,128,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZCW0005
AS/NZS 2040.2:2000 (Legacy),MALBER,6,,,,231,,56.7,,Cold,Italy,,545,,850,0.5,,Front,Drum,6,,AS/NZS 2040.1:2005/Amdt 3:2010,3.84,3.5,,,P3,"Australia,New Zealand",,19116,Approved,120,57.2,Drum,0.673,595,,,Single product class,Available,,,120,57,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,ZCW0007
AS/NZS 2040.2:2000 (Legacy),CANDY,5,,,,654,,62.3,TRUE,Dual,Italy,,,Drum,,0.5,,Front,Drum,CB 103 TR,,AS/NZS 2040.1:2005/Amdt 3:2010,0.9468,1,,,"Program 1, Temp  90 C",New Zealand,,21310,Approved,124,62.8,Drum,0.64,,,,Single product class,Available,,,124,63,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZCW0008
AS/NZS 2040.2:2005 (Legacy),ASKO,7,,,,180,,59.3,FALSE,Cold,Sweden,TRUE,595,Drum,850,0,Yes on the warm wash program only,Front,Drum,W6444,,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,5,0.21,0.28,NORMAL 40 degree,New Zealand,0.28,56327,Approved,186,59.3,Drum,0.49,595,,,Single product class,Unavailable,,http://www.asko.org.nz,186,60,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,ZCW0046
AS/NZS 2040.2:2005 (Legacy),ASKO,7,,,,180,,59.3,FALSE,Cold,Sweden,TRUE,595,Drum,850,0,Yes on the warm wash program only,Front,Drum,W6564,,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,5,0.21,0.28,NORMAL 40 degree,New Zealand,0.28,56327,Approved,186,59.3,Drum,0.49,595,,,Single product class,Unavailable,,http://www.asko.org.nz,186,60,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,ZCW0046
AS/NZS 2040.2:2005 (Legacy),ASKO,7,,,,180,,59.3,FALSE,Cold,Sweden,TRUE,595,Drum,850,0,Yes on the warm wash program only,Front,Drum,W6984,,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,5,0.21,0.28,NORMAL 40 degree,New Zealand,0.28,56327,Approved,186,59.3,Drum,0.49,595,,,Single product class,Unavailable,,http://www.asko.org.nz,186,60,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,ZCW0046
AS/NZS 2040.2:2005 (Legacy),ASKO,7,,,,180,NORMAL 40 DEGREE,60,FALSE,Cold,Sweden,TRUE,595,Drum,850,0,Yes on the warm wash program only,Front,Drum,W6884,,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,5,0.21,0.28,NORMAL 40 DEGREE,New Zealand,0.28,57810,Approved,186,60,Drum,0.49,595,,,Single product class,Unavailable,,http://www.asko.org.nz,186,60,60,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,ZCW0048
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,WHIRLPOOL,7.5,,102,,620,"P7 Whites , Medium Water Level ,Cold+ Program",104.54,FALSE,Dual,India,TRUE,650,Drum,1090,1,No,Top,Agitator,WTWE75AW1,,AS/NZS 2040.1:2005/Amdt 3:2010,2.011322498,2,0.000372,0.543,"P7 Whites , Medium Water Level ,Warm temperature Program","Australia,Fiji,New Zealand",0.542,79845,Approved,81.04,105.54,Non-Drum,0.78,620,18/07/19,,Single product class,Available,http://www.whirlpool.com.au/,,81.04,30.81,74.73,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ACW0185
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,WHIRLPOOL,8.5,,127,,462,"P8 Whites , Medium Water Level ,Cold+ Program",84.59,FALSE,Dual,India,TRUE,650,Drum,1090,1,No,Top,Impeller,WTWE85IG1,WTWE85IW1 / WTWE85IG1,AS/NZS 2040.1:2005/Amdt 3:2010,3.023236283,3,0.000377,0.591,"P8 Whites , Medium Water Level ,Warm temperature Program","Australia,Fiji,New Zealand",0.59,79856,Approved,80.42,85.59,Non-Drum,0.74,620,20/08/19,,Single product class,Available,http://www.whirlpool.com.au/,,80.42,20.85,64.74,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ACW0200
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,WHIRLPOOL,8.5,,127,,462,"P8 Whites , Medium Water Level ,Cold+ Program",84.59,FALSE,Dual,India,TRUE,650,Drum,1090,1,No,Top,Impeller,WTWE85IW1,WTWE85IW1 / WTWE85IG1,AS/NZS 2040.1:2005/Amdt 3:2010,3.023236283,3,0.000377,0.591,"P8 Whites , Medium Water Level ,Warm temperature Program","Australia,Fiji,New Zealand",0.59,79856,Approved,80.42,85.59,Non-Drum,0.74,620,20/08/19,,Single product class,Available,http://www.whirlpool.com.au/,,80.42,20.85,64.74,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ACW0200
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,WHIRLPOOL,8.5,,127,,462,"P8 Whites , Medium Water Level ,Cold+ Program",84.59,FALSE,Dual,India,TRUE,650,Drum,1090,1,No,Top,Impeller,WTWE85IW1 / WTWE85IG1,WTWE85IW1 / WTWE85IG1,AS/NZS 2040.1:2005/Amdt 3:2010,3.023236283,3,0.000377,0.591,"P8 Whites , Medium Water Level ,Warm temperature Program","Australia,Fiji,New Zealand",0.59,79856,Approved,80.42,85.59,Non-Drum,0.74,620,20/08/19,,Single product class,Available,http://www.whirlpool.com.au/,,80.42,20.85,64.74,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ACW0200
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,EURO,6,,58,,265,Cotton with snowflake symbol,66,FALSE,Dual,China,TRUE,530,Drum,845,0,Yes on the warm wash program only,Front,,EFL6KWH,,AS/NZS 2040.1:2005/Amdt 3:2010,3.472405714,3,0.00013,0.4,Cotton standard 40,"Australia,Fiji,New Zealand",0.4,80871,Approved,186,66,Drum,73,595,11/06/19,,Single product class,Available,http://www.euroappliances.com.au/,http://www.euroappliances.com.au,186,265,58,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ACW0170
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Brav,7,,,,432,,,FALSE,Dual,China,TRUE,,Drum,,,Yes on the warm wash program only,Front,,GreenTech10A,,AS/NZS 2040.1:2005/Amdt 3:2010,2.858419739,2.5,3.30E-05,0.39,"Cotton 60c, 1200rpm",Australia,0.39,81023,Approved,282.86,0,Drum,0.64378,,15/10/19,,Single product class,Available,http://www.sleuthwashers.com.au/,http://www.brav.com.au/,282.86,71,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ACW0215
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,BEKO,10,,,,380,,,FALSE,Dual,Turkey,TRUE,625,Drum,840,,Yes on the warm wash program only,Front,Drum,WMY 1048 LB1,,AS/NZS 2040.1:2005/Amdt 3:2010,4.018685771,4,0.00017,0.3777,Cottons Eco; 40°C; 1400rpm,"Australia,New Zealand",0.3818,81076,Archived,268.77,0,Drum,0.58991,600,27/05/19,,Single product class,Available,http://www.beko.com.au/,,268.77,86,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,ACW0166
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,EUROMAID,6,,,,544,,,FALSE,Dual,China,TRUE,560,Non Drum,940,,No,Top,Impeller,TL6KG,,AS/NZS 2040.1:2005/Amdt 3:2010,1.809502944,1.5,7.00E-06,0.78,"Normal, Hot & Cold, Water Level 4","Australia,New Zealand",0.79,81280,Approved,89.36,0,Non-Drum,0.7531,545,05/06/19,,Single product class,Available,http://www.hapl.com.au,,89.36,86,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ACW0169
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Ariston,7.5,,,,544,N/A,,TRUE,Cold,Italy,TRUE,535,Drum,850,,Yes on the warm wash program only,Front,,ARMF125 (AUS),ARXF125,AS/NZS 2040.1:2005/Amdt 3:2010,2.508583045,2.5,0.00078,0.38,"Prog 1 Cottons 60, 1200rpm","Australia,Fiji,New Zealand",0.38,81287,Approved,230.03,0,Drum,0.61,595,12/06/19,,Single product class,Available,,,230.4,65.1,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ACW0171
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Ariston,7.5,,,,544,N/A,,TRUE,Cold,Italy,TRUE,535,Drum,850,,Yes on the warm wash program only,Front,,ARMF125 (AUS)1,ARXF125,AS/NZS 2040.1:2005/Amdt 3:2010,2.508583045,2.5,0.00078,0.38,"Prog 1 Cottons 60, 1200rpm","Australia,Fiji,New Zealand",0.38,81287,Approved,230.03,0,Drum,0.61,595,12/06/19,,Single product class,Available,,,230.4,65.1,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ACW0171
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Ariston,7.5,,,,544,N/A,,TRUE,Cold,Italy,TRUE,535,Drum,850,,Yes on the warm wash program only,Front,,ARXF125,ARXF125,AS/NZS 2040.1:2005/Amdt 3:2010,2.508583045,2.5,0.00078,0.38,"Prog 1 Cottons 60, 1200rpm","Australia,Fiji,New Zealand",0.38,81287,Approved,230.03,0,Drum,0.61,595,12/06/19,,Single product class,Available,,,230.4,65.1,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ACW0171
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Indesit,7.5,,,,544,N/A,,TRUE,Cold,Italy,TRUE,535,Drum,850,,Yes on the warm wash program only,Front,,IWDC 7125,IWDC 7125,AS/NZS 2040.1:2005/Amdt 3:2010,2.508583045,2.5,0.00078,0.38,"Prog 2 Cottons 60, 1200rpm","Australia,Fiji,New Zealand",0.38,81297,Approved,230.03,0,Drum,0.61,595,20/06/19,,Single product class,Available,,,230.4,65.1,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ACW0172
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Indesit,7.5,,,,544,N/A,,TRUE,Cold,Italy,TRUE,535,Drum,850,,Yes on the warm wash program only,Front,,IWDC 7125 B (AUS),IWDC 7125,AS/NZS 2040.1:2005/Amdt 3:2010,2.508583045,2.5,0.00078,0.38,"Prog 2 Cottons 60, 1200rpm","Australia,Fiji,New Zealand",0.38,81297,Approved,230.03,0,Drum,0.61,595,20/06/19,,Single product class,Available,,,230.4,65.1,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ACW0172
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Indesit,7.5,,,,544,N/A,,TRUE,Cold,Italy,TRUE,535,Drum,850,,Yes on the warm wash program only,Front,,IWDC 7125 B (AUS)1,IWDC 7125,AS/NZS 2040.1:2005/Amdt 3:2010,2.508583045,2.5,0.00078,0.38,"Prog 2 Cottons 60, 1200rpm","Australia,Fiji,New Zealand",0.38,81297,Approved,230.03,0,Drum,0.61,595,20/06/19,,Single product class,Available,,,230.4,65.1,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ACW0172
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,EUROMAID,8,,,,586,,,FALSE,Dual,China,TRUE,625,Non Drum,1000,,No,Top,Impeller,TL8KG,,AS/NZS 2040.1:2005/Amdt 3:2010,2.351018207,2,0,0.01,"Normal, Water Level 5, Water Temperature Warm","Australia,New Zealand",0.01,81422,Approved,65.46,0,Non-Drum,0.73008,601,05/06/19,,Single product class,Available,http://www.hapl.com.au,,65.46,101,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ACW0168
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Panasonic,8.5,,,,730,,,FALSE,Dual,Taiwan,TRUE,,Drum,,,No,Top,Impeller,NA-F85H3W**,NA-F85H3W**,AS/NZS 2040.1:2005/Amdt 3:2010,2.003717045,2,0,0.55,"Eco Cotton, Hot, Wash 6 min, Rinse 1, water level 5, Spin 9 min","Australia,New Zealand",0.55,81665,Approved,100,0,Non-Drum,0.69222,,28/07/19,,Single product class,Available,,http://N/A,100,104,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ACW0188
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Panasonic,8.5,,,,730,,,FALSE,Dual,Taiwan,TRUE,,Drum,,,No,Top,Impeller,NA-F85H3WAU,NA-F85H3W**,AS/NZS 2040.1:2005/Amdt 3:2010,2.003717045,2,0,0.55,"Eco Cotton, Hot, Wash 6 min, Rinse 1, water level 5, Spin 9 min","Australia,New Zealand",0.55,81665,Approved,100,0,Non-Drum,0.69222,,28/07/19,,Single product class,Available,,http://N/A,100,104,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ACW0188
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Panasonic,8.5,,,,730,,,FALSE,Dual,Taiwan,TRUE,,Drum,,,No,Top,Impeller,NA-F85H3WNZ,NA-F85H3W**,AS/NZS 2040.1:2005/Amdt 3:2010,2.003717045,2,0,0.55,"Eco Cotton, Hot, Wash 6 min, Rinse 1, water level 5, Spin 9 min","Australia,New Zealand",0.55,81665,Approved,100,0,Non-Drum,0.69222,,28/07/19,,Single product class,Available,,http://N/A,100,104,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ACW0188
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Fisher & Paykel,8,,,,295,,,FALSE,Dual,China,TRUE,,Drum,,,Yes on the warm wash program only,Front,,WH8060P*,WH8060P*,AS/NZS 2040.1:2005/Amdt 3:2010,4.09097792,4,1.00E-05,0.1,"Cottons, 40C°, Eco","Australia,New Zealand",0,81748,Approved,248,0,Drum,0.58,,27/06/19,,Single product class,Available,,http://www.fisherpaykel.co.nz/,248,68,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,ACW0179
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Fisher & Paykel,8,,,,295,,,FALSE,Dual,China,TRUE,,Drum,,,Yes on the warm wash program only,Front,,WH8060P2,WH8060P*,AS/NZS 2040.1:2005/Amdt 3:2010,4.09097792,4,1.00E-05,0.1,"Cottons, 40C°, Eco","Australia,New Zealand",0,81748,Approved,248,0,Drum,0.58,,27/06/19,,Single product class,Available,,http://www.fisherpaykel.co.nz/,248,68,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,ACW0179
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,FISHER & PAYKEL,8,,,,295,,,FALSE,Dual,China,TRUE,,Drum,,,Yes on the warm wash program only,Front,,WH8060P*,WH8060P*,AS/NZS 2040.1:2005/Amdt 3:2010,4.09097792,4,1.00E-05,0.1,"Cottons, 40C°, Eco","Australia,New Zealand",0,81748,Approved,248,0,Drum,0.58,,27/06/19,,Single product class,Available,,http://www.fisherpaykel.co.nz/,248,68,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,ACW0179
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,FISHER & PAYKEL,8,,,,295,,,FALSE,Dual,China,TRUE,,Drum,,,Yes on the warm wash program only,Front,,WH8060P1,WH8060P*,AS/NZS 2040.1:2005/Amdt 3:2010,4.09097792,4,1.00E-05,0.1,"Cottons, 40C°, Eco","Australia,New Zealand",0,81748,Approved,248,0,Drum,0.58,,27/06/19,,Single product class,Available,,http://www.fisherpaykel.co.nz/,248,68,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,ACW0179
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Lemair,5,,,,420,,,FALSE,Cold,China,TRUE,480,Drum,840,,Yes on the warm wash program only,Front,,LW5,,AS/NZS 2040.1:2005/Amdt 3:2010,2.024776878,2,0,0.952,"Cotton Eco, 60 C, 800 rpm","Australia,New Zealand",0.1,81911,Archived,173,0,Drum,0.72528,600,01/07/19,,Single product class,Available,http://www.hapl.com.au,,173,72,72,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ACW0181
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Lemair,8,,,,662,,,FALSE,Dual,China,FALSE,512,Non Drum,957,,No,Twin Tub,Impeller,LTT8,,AS/NZS 2040.1:2005/Amdt 3:2010,1.957184451,1.5,0,0,"Normal; Wash: 30 min., H water level, 40 oC; Spin: 3 min., 2 times; Rinse:3 min., L water level, 20 deg C; Spin: 3 min., 2 times;","Australia,New Zealand",,81953,Approved,45,0,Non-Drum,0.83,870,06/07/19,,Single product class,Available,http://www.hapl.com.au,,45,111,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ACW0183
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Ariston,8,,,,297,,,FALSE,Cold,Italy,TRUE,551,Drum,850,,Yes on the warm wash program only,Front,,AQ82F 29 AUS,AQ82 Series,AS/NZS 2040.1:2005/Amdt 3:2010,4.079357099,4,0.0013,0.266,Cotton Standard 40,"Australia,Fiji,New Zealand",0.266,82175,Approved,314.2,0,Drum,0.5834,595,05/08/19,,Single product class,Available,,,314.2,79.21,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,ACW0193
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Ariston,8,,,,297,,,FALSE,Cold,Italy,TRUE,551,Drum,850,,Yes on the warm wash program only,Front,,AQ82L 29 AUS,AQ82 Series,AS/NZS 2040.1:2005/Amdt 3:2010,4.079357099,4,0.0013,0.266,Cotton Standard 40,"Australia,Fiji,New Zealand",0.266,82175,Approved,314.2,0,Drum,0.5834,595,05/08/19,,Single product class,Available,,,314.2,79.21,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,ACW0193
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Ariston,8,,,,297,,,FALSE,Cold,Italy,TRUE,551,Drum,850,,Yes on the warm wash program only,Front,,AQ82 Series,AQ82 Series,AS/NZS 2040.1:2005/Amdt 3:2010,4.079357099,4,0.0013,0.266,Cotton Standard 40,"Australia,Fiji,New Zealand",0.266,82175,Approved,314.2,0,Drum,0.5834,595,05/08/19,,Single product class,Available,,,314.2,79.21,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,ACW0193
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Ariston,9,,,,256,,,FALSE,Cold,Italy,TRUE,616,Drum,850,,Yes on the warm wash program only,Front,,AQ94F 49D AUS,,AS/NZS 2040.1:2005/Amdt 3:2010,4.515353537,4.5,0.0018,0.495,Cottons Standard 40,"Australia,Fiji,New Zealand",0.495,82389,Approved,306.76,0,Drum,0.6246,595,06/08/19,,Single product class,Available,,,306.76,88.04,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,ACW0196
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Ariston,10,,,,289,,,FALSE,Cold,Italy,TRUE,616,Drum,850,,Yes on the warm wash program only,Front,,AQ104D 69D AUS,,AS/NZS 2040.1:2005/Amdt 3:2010,4.617810895,4.5,0.0018,0.496,Cotton Standard 40,"Australia,Fiji,New Zealand",0.496,82392,Approved,335.05,0,Drum,0.5646,595,06/08/19,,Single product class,Available,,,335.05,99.37,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,ACW0195
