Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,703,699.0,698.0,Freezer,Chest,New Zealand,730.0,Freezer,0,699,6C,903.0,False,MEPS 2010,H701SL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.2601,,,776.858,"Australia,Fiji,New Zealand",49205,Approved,699.0,1781.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,1118.4,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0262
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,703,699.0,698.0,Freezer,Chest,New Zealand,730.0,Freezer,0,699,6C,903.0,False,MEPS 2010,H701X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.2601,,,776.858,"Australia,Fiji,New Zealand",49205,Approved,699.0,1781.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,1118.4,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0262
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,345,215.0,214.0,Freezer,Chest,New Zealand,565.0,Freezer,0,215,6C,898.0,False,MEPS 2010,H215X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.6097,,,378.816,"Australia,Fiji,New Zealand",49207,Approved,215.0,881.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,344.0,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0261
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,393,275.0,274.0,Freezer,Chest,New Zealand,565.0,Freezer,0,275,6C,898.0,False,MEPS 2010,H275X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.5725,,,428.16,"Australia,Fiji,New Zealand",49212,Approved,275.0,1073.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,440.0,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0260
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,424,320.0,319.0,Freezer,Chest,New Zealand,565.0,Freezer,0,320,6C,898.0,False,MEPS 2010,H320X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.5758,,,465.168,"Australia,Fiji,New Zealand",49213,Approved,320.0,1214.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,512.0,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0259
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,362,266.0,250.0,Fresh Food,Upright,New Zealand,575.0,Refrigerator,266,0,1,1595.0,False,MEPS 2010,C270L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.0686,,,390.696,"Australia,Fiji,New Zealand",49292,Approved,266.0,525.0,,,Class 1,Available,,http://www.fisherpaykel.com,296.0,0.356,266.0,1,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0257
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,362,266.0,250.0,Fresh Food,Upright,New Zealand,575.0,Refrigerator,266,0,1,1595.0,False,MEPS 2010,C270R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.0686,,,390.696,"Australia,Fiji,New Zealand",49292,Approved,266.0,525.0,,,Class 1,Available,,http://www.fisherpaykel.com,296.0,0.356,266.0,1,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0257
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,362,266.0,250.0,Fresh Food,Upright,New Zealand,575.0,Refrigerator,266,0,1,1595.0,False,MEPS 2010,C270RS,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.0686,,,390.696,"Australia,Fiji,New Zealand",49292,Approved,266.0,525.0,,,Class 1,Available,,http://www.fisherpaykel.com,296.0,0.356,266.0,1,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0257
,AS/NZS 4474.2:2009,FISHER & PAYKEL,296,"109.0,6.0","101.0,6.0","Fresh Food,Ice making",Upright,New Zealand,575.0,Refrigerator,109,0,2,819.0,False,MEPS 2010,P120L,,AS/NZS 4474.1:2007,1.0,1.01,,,343.906,"Australia,Fiji,New Zealand",49293,Superseded,115.0,525.0,,2011-12-01,Class 2,Unavailable,,http://www.fisherpaykel.com,308.0,0.309,116.2,2,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0256
,AS/NZS 4474.2:2009,FISHER & PAYKEL,296,"109.0,6.0","101.0,6.0","Fresh Food,Ice making",Upright,New Zealand,575.0,Refrigerator,109,0,2,819.0,False,MEPS 2010,P120LS,,AS/NZS 4474.1:2007,1.0,1.01,,,343.906,"Australia,Fiji,New Zealand",49293,Superseded,115.0,525.0,,2011-12-01,Class 2,Unavailable,,http://www.fisherpaykel.com,308.0,0.309,116.2,2,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0256
