ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small,Registration Number,Is variable speed,Type variable output,Var output compressor,Variable output rated as fixed sp,No HSPF,Rated Total Cool Capacity W,Rated cooling power input W,Have T1 half cap results,T1_half_cap_power_rated,T1_half_cap_cooling_cap_rated,Have T1 min cap results,T1_min_cap_power_rated,T1_min_cap_cooling_cap_rated,Have low temp cool full cap results,Low temp cooling full cap power rated,Low temp cooling full cap rated,Have low temp cool half cap results,Low temp cooling half cap power rated,Low temp cooling half cap rated,Have low temp cool min cap results,Low temp cooling min cap power rated,Low temp cooling min cap rated,Rated Heating Capacity watts,Rated heating power input watts,H1_half_cap_power_rated,H1_half_cap_heat_cap_rated,Have H1 min cap results,H1_min_cap_power_rated,H1_min_cap_heat_cap_rated,Have H2 extended mode results,H2_ext_cap_power_rated,H2_ext_cap_heat_cap_rated,Have H2 full mode results,H2_full_cap_power_rated,H2_full_cap_heat_cap_rated,Have H2 half capacity results,H2_half_cap_power_rated,H2_half_cap_heat_cap_rated,Have H2 min capacity results,H2_min_cap_power_rated,H2_min_cap_heat_cap_rated,Have H3 extended mode results,H3_ext_cap_power_rated,H3_ext_cap_heat_cap_rated,Have H3 full mode results,H3_full_cap_power_rated,H3_full_cap_heat_cap_rated,Have H3 half capacity results,H3_half_cap_power_rated,H3_half_cap_heat_cap_rated,indoor_sound_level,outdoor_sound_level,Residential TCSPF_cold,Residential TCSPF_mixed,Residential TCSPF_hot,Commercial TCSPF_cold,Commercial TCSPF_mixed,Commercial TCSPF_hot,Residential tcec_cold,Residential tcec_mixed,Residential tcec_hot,Commercial tcec_cold,Commercial tcec_mixed,Commercial tcec_hot,c_star_cold,c_star_mixed,c_star_hot,Residential HSPF_cold,Residential HSPF_mixed,Residential HSPF_hot,Commercial HSPF_cold,Commercial HSPF_mixed,Commercial HSPF_hot,Residential thec_cold,Residential thec_mixed,Residential thec_hot,Commercial thec_cold,Commercial thec_mixed,Commercial thec_hot,h_star_cold,h_star_mixed,h_star_hot,Outdoor unit only,Have_water_tank,Rated cool power input with water,Rated cool cap with water W,Rated cool cap with water kW,Residential tcec_cold with water,Residential tcec_mixed with water,Residential tcec_hot with water,PIA inoperative power,Rated AEER,Rated ACOP
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FCQ140KV / RZQS140AV,,,DAIKIN,4.0,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,4.4,10.0,14.0,,0.0,,,,4.38,16.0,Enthalpy Test Room,3.3314,3.9366,True,100.0,,29.8,37.2,0.0,0.0,,,,3.25210245280647,3.81494400226508,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",86315,2020-06-09,,Approved,Reverse Cycle,,Class 5,False,,False,False,False,False,KRP58M51,3.3314,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,True,,,AAC1576,,Variable output compressor,Inverter,,,,4.4,,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1106,3.551
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FCQ140KA / RZQ140LV,,,DAIKIN,3.8,Non Ducted,Single Split System,Cassette,Air,Air,"Japan,Thailand",4.51,9.8,13.6,840.0,0.0,,,298.0,4.8,16.0,Enthalpy Test Room,3.1383,3.4744,True,88.6,,29.8,37.2,5.32090132090132,0.0,,,,3.06577531620896,3.37974268892328,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",86317,2020-08-04,,Approved,Reverse Cycle,840.0,Class 5,False,,False,,,,,3.1383,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,True,,,AAC1695,,Variable output compressor,Inverter,,,,4.51,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9496,3.2482
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FCQ140KA / RZQS140AV,,,DAIKIN,4.0,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,4.4,10.0,14.0,,0.0,,,,4.38,16.0,Enthalpy Test Room,3.3309,3.9366,True,83.75,,29.8,37.2,0.0,0.0,,,,3.25162983219132,3.81494400226508,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",86318,2020-03-24,,Approved,Reverse Cycle,,Class 5,False,,False,,,,,3.3309,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,True,,,AAC1457,,Variable output compressor,Inverter,,,,4.4,,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1106,3.551
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FCQ140KV / RZQS140AY,,,DAIKIN,4.0,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,4.4,10.0,14.0,,0.0,,,,4.38,16.0,Enthalpy Test Room,3.217,3.7331,True,83.75,,29.8,37.2,0.0,0.0,,,,3.14544550617212,3.62702475916284,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",86319,2020-04-20,,Approved,Reverse Cycle,,Class 5,False,,False,,,,,3.217,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,True,,,AAC1517,,Variable output compressor,Inverter,,,,4.4,,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1106,3.551
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FCQ71KA / RZQ71L,,,DAIKIN,1.46,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,1.99,5.64,7.1,,0.0,,,,2.1,8.0,Enthalpy Test Room,3.6825,3.9836,True,100.0,,29.8,37.2,0.0,0.0,,,,3.50047405831212,3.74952797915257,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",86322,2020-05-11,,Approved,Reverse Cycle,,Class 4,False,,False,False,False,False,KRP58M51,3.6825,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,True,,,AAC1534,,Variable output compressor,Inverter,,,,1.99,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.396,3.5943
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FCQ71KV / RZQ71L,,,DAIKIN,1.5,Non Ducted,Single Split System,Cassette,Air,Air,Japan,1.99,5.6,7.1,,0.0,,,,2.1,8.0,Enthalpy Test Room,3.6825,3.9836,True,100.0,,29.9,36.9,0.0,0.0,,,,3.49989352630097,3.75130568629303,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",86323,2020-03-19,,Approved,Reverse Cycle,,Class 4,False,,False,False,False,False,KRP58M51,3.6825,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,True,,,AAC1447,,Variable output compressor,Inverter,,,,1.99,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3954,3.596
AS/NZS 3823.2:2013 [Non Multi-Split],NZ MEPS April 2013,AS/NZS 3823.1.1:2012,GHP100 (KFR-09GW/BPX1),Goldair,,Goldair,0.218,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.67,2.23,2.448,,0.0,,,,0.68,2.6,Calorimeter Room,3.8012,3.9909,False,,,2.0,3.0,0.0,0.0,,,,3.76175548589342,3.93031400604664,,,3.0235,3.3606,3.0,3.0,Calorimeter Room,Single,R410A,New Zealand,86337,2115-01-05,,Approved,Reverse Cycle,,Class 3,False,,False,,,,,3.8012,Available,,,,http://www.goldair.co.nz/,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3_3.png,ZAC0474,,,,,,,0.67,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6172,3.7674
AS/NZS 3823.2:2013 [Non Multi-Split],NZ MEPS April 2013,AS/NZS 3823.1.1:2012,Goldair,Goldair,,Goldair,0.218,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.67,2.23,2.448,,0.0,,,,0.68,2.6,Calorimeter Room,3.8012,3.9909,False,,,2.0,3.0,0.0,0.0,,,,3.76175548589342,3.93031400604664,,,3.0235,3.3606,3.0,3.0,Calorimeter Room,Single,R410A,New Zealand,86337,2115-01-05,,Approved,Reverse Cycle,,Class 3,False,,False,,,,,3.8012,Available,,,,http://www.goldair.co.nz/,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3_3.png,ZAC0474,,,,,,,0.67,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6172,3.7674
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,DWAIS04,,,DUNNAIR,1.0,Ducted,Single Split System,,Cooling Tower,Cooling Tower,China,1.13,3.3,4.3,,0.0,,,,1.13,4.5,Enthalpy Test Room,3.7588,3.9805,True,,,5.0,7.0,0.0,0.0,,,,3.70386377387847,3.89854391733208,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Single,R410A,Australia,86344,2020-01-28,,Approved,Reverse Cycle,,Class 6,False,,False,,,,,3.7588,Available,,,http://www.dunnair.com.au/,http://www.dunnair.com.au,True,,,AAC1370,,Variable output compressor,Inverter,,,,1.13,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7492,3.9006
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,FDC224KXZPE1,,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",3.36,Non Ducted,Multiple split - VRF,,Air,Air,Thailand,5.76,19.04,22.4,,0.0,,,,4.96,22.4,Enthalpy Test Room,3.808,4.5125,True,,,59.0,59.0,0.0,0.0,,,,3.68404386248413,4.33719874883629,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",86363,2019-12-16,,Approved,Reverse Cycle,,Class 11,False,,False,,,,,3.808,Available,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,True,,,AAC1337,,Variable output compressor,Inverter,,,,5.76,,,,,,,,,,,,,,,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7588,4.3416
