Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
83859,WINTAL,32LED15HD,,Australia,China,80.039,2736.7112736,LCD (LED),0.2,0.0,0.0,25.71,,,96.0,Approved,2019-10-13,,Single product class,Available,6.0,,http://www.wintal.com.au,6.4097534635037,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1123
83860,WINTAL,42LED15FHD,,Australia,China,106.467,4843.49186304,LCD (LED),0.25,0.0,0.0,43.9,,,163.0,Approved,2019-10-07,,Single product class,Available,6.0,,http://www.wintal.com.au,6.17973152258943,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1103
83866,WINTAL,50LED15FHD,,Australia,China,125.731,6754.867344,LCD (LED),0.28,0.0,0.0,63.77,,,235.0,Approved,2019-10-13,,Single product class,Available,5.5,,http://www.wintal.com.au,5.86779054747948,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1122
83932,SHARP,LC32LE265,LC32LE265,"Australia,Fiji,New Zealand",Malaysia,80.072,2741.2633,LCD (LED),0.47,9.11,0.5,30.64,,,116.0,Approved,2019-09-17,,Single product class,Available,5.5,http://www.sharp.net.au/,,5.56761185200622,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1072
83932,SHARP,LC-32LE265X,LC32LE265,"Australia,Fiji,New Zealand",Malaysia,80.072,2741.2633,LCD (LED),0.47,9.11,0.5,30.64,,,116.0,Approved,2019-09-17,,Single product class,Available,5.5,http://www.sharp.net.au/,,5.56761185200622,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1072
83932,SHARP,LC-32LE265X-WH,LC32LE265,"Australia,Fiji,New Zealand",Malaysia,80.072,2741.2633,LCD (LED),0.47,9.11,0.5,30.64,,,116.0,Approved,2019-09-17,,Single product class,Available,5.5,http://www.sharp.net.au/,,5.56761185200622,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1072
84136,SHARP,LC40LE265,LC40LE265,"Australia,Fiji",Malaysia,100.328,4261.4193,LCD (LED),0.38,10.76,0.5,49.79,,,186.0,Approved,2019-09-17,,Single product class,Available,5.0,http://www.sharp.net.au/,,5.09109406215757,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1071
84136,SHARP,LC-40LE265X,LC40LE265,"Australia,Fiji",Malaysia,100.328,4261.4193,LCD (LED),0.38,10.76,0.5,49.79,,,186.0,Approved,2019-09-17,,Single product class,Available,5.0,http://www.sharp.net.au/,,5.09109406215757,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1071
84136,SHARP,LC-40LE265X-WH,LC40LE265,"Australia,Fiji",Malaysia,100.328,4261.4193,LCD (LED),0.38,10.76,0.5,49.79,,,186.0,Approved,2019-09-17,,Single product class,Available,5.0,http://www.sharp.net.au/,,5.09109406215757,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1071
84297,SHARP,LC-40LE460X,,"Australia,Fiji,New Zealand",China,100.332,4261.906885,LCD (LED),0.38,0.0,0.0,63.0,,,232.0,Approved,2019-09-29,,Single product class,Available,4.0,http://www.sharp.net.au/,,4.10118226530714,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1085
84369,Palsonic,TFTV501UHD,,Australia,China,125.731,6754.867344,LCD (LED),,,,115.0,,,422.0,Approved,2019-09-20,,Single product class,Available,3.0,,,3.24427847892985,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1074
84473,Panasonic,TH-65AX900Z,,New Zealand,Japan,163.853,11473.98,LCD (LED),0.3,34.0,0.15,221.0,5.5,5.51629903798135,811.0,Approved,2114-09-23,,Single product class,Available,2.5,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,2.515,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0200
