ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model No,Family Name,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Old Star Rating,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2015,LG,9,FALSE,Autosensing,South Korea,640,850,TD-C902H,,AS/NZS 2442.1:1996/Amdt 4:2006,170,7.34829467,7,"Cotton, Cupboard",311,"Australia,New Zealand",Approved,84520,7.19,0,Condenser,600,01/10/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2015,MIELE,8,FALSE,Autosensing,"Germany,Czechia",,,TKB350WP,,AS/NZS 2442.1:1996/Amdt 4:2006,158,7.073990428,7,Cottons / Extra dry,229,"Australia,New Zealand",Approved,84525,6.317,0,Condenser,,24/09/19,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2015,BOSCH,9,FALSE,Autosensing,Poland,,,WTY88701AU,,AS/NZS 2442.1:1996/Amdt 4:2006,165,7.531983814,7,Cottons Cupboard Dry Extra,220,"Australia,New Zealand",Approved,84603,7.048,0,Condenser,,29/09/19,,Single product class,Available,,http://www.bosch-home.com.au/,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,8,FALSE,Autosensing,South Korea,640,850,TD-C801H,,AS/NZS 2442.1:1996/Amdt 4:2006,148,7.476299005,7,"Cotton, Cupboard",240,"Australia,New Zealand",Approved,84881,6.457,0,Condenser,600,09/10/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),ASKO,10,FALSE,Autosensing,Slovenia,726,850,T884XLHP,,AS/NZS 2442.1:1996/Amdt 4:2006,154,8.604802763,6,Auto Normal Dry,313,New Zealand,Approved,84917,7.95,0,Condenser,595,08/10/14,,Single product class,Available,,http://www.asko.org.nz,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,FISHER & PAYKEL,8,FALSE,Autosensing,China,,,DE8060P*,DE8060P*,AS/NZS 2442.1:1996/Amdt 4:2006,355,2.092892171,2,Everyday,215,"Australia,New Zealand",Approved,85305,6.337,0,Condenser,,06/11/19,,Single product class,Available,http://www.fisherpaykel.co.nz/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,FISHER & PAYKEL,8,FALSE,Autosensing,China,,,DE8060P2,DE8060P*,AS/NZS 2442.1:1996/Amdt 4:2006,355,2.092892171,2,Everyday,215,"Australia,New Zealand",Approved,85305,6.337,0,Condenser,,06/11/19,,Single product class,Available,http://www.fisherpaykel.co.nz/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Cell-Sun,6,FALSE,Autosensing,China,545,840,TVD60-08E,TVD60-09E,AS/NZS 2442.1:1996/Amdt 4:2006,269,2.02966469,2,Extra dry/full heat,210,Australia,Approved,85909,4.743,,Vented,595,26/11/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Cell-Sun,6,FALSE,Autosensing,China,545,840,TVD60-08EF,TVD60-09E,AS/NZS 2442.1:1996/Amdt 4:2006,269,2.02966469,2,Extra dry/full heat,210,Australia,Approved,85909,4.743,,Vented,595,26/11/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Cell-Sun,6,FALSE,Autosensing,China,545,840,TVD60-09E,TVD60-09E,AS/NZS 2442.1:1996/Amdt 4:2006,269,2.02966469,2,Extra dry/full heat,210,Australia,Approved,85909,4.743,,Vented,595,26/11/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Cell-Sun,6,FALSE,Autosensing,China,545,840,TVD60-09EF,TVD60-09E,AS/NZS 2442.1:1996/Amdt 4:2006,269,2.02966469,2,Extra dry/full heat,210,Australia,Approved,85909,4.743,,Vented,595,26/11/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),Eurotech,6,FALSE,Autosensing,Turkey,530,846,ED-CD6KG,,AS/NZS 2442.1:1996/Amdt 4:2006,262,2.191903489,2,Cotton - Extra Dry,60,"Fiji,New Zealand",Approved,85917,3.366,0,Condenser,595,21/11/14,,Single product class,Available,,http://www.eurotechdesign.co.nz/,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,7,FALSE,Autosensing,South Korea,660,860,DV70H4400CW,,AS/NZS 2442.1:1996/Amdt 4:2006,309,2.125166073,2,"Drying Cotton Extra Dry, Drying Level High",180,"Australia,Fiji,New Zealand",Approved,85920,5.566,0,Condenser,600,02/12/19,,Single product class,Available,,http://www.samsung.com.au,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,8,FALSE,Autosensing,China,630,850,DC-80S1U,DC-80S*U,AS/NZS 2442.1:1996/Amdt 4:2006,326,2.617264368,2.5,strong,160,"Australia,Fiji,New Zealand",Approved,85996,6.32,0,Condenser,595,21/12/19,,Single product class,Unavailable,http://www.galanz.com.cn/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,8,FALSE,Autosensing,China,630,850,DC-80S3U,DC-80S*U,AS/NZS 2442.1:1996/Amdt 4:2006,326,2.617264368,2.5,strong,160,"Australia,Fiji,New Zealand",Approved,85996,6.32,0,Condenser,595,21/12/19,,Single product class,Unavailable,http://www.galanz.com.cn/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),Sheffield,4,FALSE,Timer,China,440,670,PLA1329,,AS/NZS 2442.1:1996/Amdt 4:2006,150,3.128681143,3,full heat,140,New Zealand,Approved,86048,3.108,,Vented,595,12/01/15,,Single product class,Available,http://www.prolinkasia.com/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,PYE,6,FALSE,Autosensing,China,545,840,CD06ELEC,,AS/NZS 2442.1:1996/Amdt 4:2006,269,2.02966469,2,"Full heat, Extra dry",199,"Australia,New Zealand",Approved,86050,4.743,,Vented,595,13/05/20,,Single product class,Available,http://www.gafcontrol.com.au/,http://www.gafcontrol.com.au,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
